name:suite,mem_acc_0_to_0,mem_acc_0_to_1,mem_acc_0_to_2,mem_acc_0_to_3,mem_acc_0_to_4,mem_acc_0_to_5,mem_acc_0_to_6,mem_acc_0_to_7,mem_acc_1_to_0,mem_acc_1_to_1,mem_acc_1_to_2,mem_acc_1_to_3,mem_acc_1_to_4,mem_acc_1_to_5,mem_acc_1_to_6,mem_acc_1_to_7,mem_acc_2_to_0,mem_acc_2_to_1,mem_acc_2_to_2,mem_acc_2_to_3,mem_acc_2_to_4,mem_acc_2_to_5,mem_acc_2_to_6,mem_acc_2_to_7,mem_acc_3_to_0,mem_acc_3_to_1,mem_acc_3_to_2,mem_acc_3_to_3,mem_acc_3_to_4,mem_acc_3_to_5,mem_acc_3_to_6,mem_acc_3_to_7,mem_acc_4_to_0,mem_acc_4_to_1,mem_acc_4_to_2,mem_acc_4_to_3,mem_acc_4_to_4,mem_acc_4_to_5,mem_acc_4_to_6,mem_acc_4_to_7,mem_acc_5_to_0,mem_acc_5_to_1,mem_acc_5_to_2,mem_acc_5_to_3,mem_acc_5_to_4,mem_acc_5_to_5,mem_acc_5_to_6,mem_acc_5_to_7,mem_acc_6_to_0,mem_acc_6_to_1,mem_acc_6_to_2,mem_acc_6_to_3,mem_acc_6_to_4,mem_acc_6_to_5,mem_acc_6_to_6,mem_acc_6_to_7,mem_acc_7_to_0,mem_acc_7_to_1,mem_acc_7_to_2,mem_acc_7_to_3,mem_acc_7_to_4,mem_acc_7_to_5,mem_acc_7_to_6,mem_acc_7_to_7
add:easy,12763157.3125,74477817.0,340395.9375,325104443.3125,328911.8125,151234801.5625,390210.0,58665423.0,12763157.3125,74477817.0,340395.9375,325104443.3125,328911.8125,151234801.5625,390210.0,58665423.0,12763157.3125,74477817.0,340395.9375,325104443.3125,328911.8125,151234801.5625,390210.0,58665423.0,12763157.3125,74477817.0,340395.9375,325104443.3125,328911.8125,151234801.5625,390210.0,58665423.0,12763157.3125,74477817.0,340395.9375,325104443.3125,328911.8125,151234801.5625,390210.0,58665423.0,12763157.3125,74477817.0,340395.9375,325104443.3125,328911.8125,151234801.5625,390210.0,58665423.0,12763157.3125,74477817.0,340395.9375,325104443.3125,328911.8125,151234801.5625,390210.0,58665423.0,12763157.3125,74477817.0,340395.9375,325104443.3125,328911.8125,151234801.5625,390210.0,58665423.0
barnes:splash2x,1483219021.25,1197443441.375,1101074812.625,3289952260.4375,1085332305.1875,1434869979.5,1152661000.1875,943933923.3125,1483219021.25,1197443441.375,1101074812.625,3289952260.4375,1085332305.1875,1434869979.5,1152661000.1875,943933923.3125,1483219021.25,1197443441.375,1101074812.625,3289952260.4375,1085332305.1875,1434869979.5,1152661000.1875,943933923.3125,1483219021.25,1197443441.375,1101074812.625,3289952260.4375,1085332305.1875,1434869979.5,1152661000.1875,943933923.3125,1483219021.25,1197443441.375,1101074812.625,3289952260.4375,1085332305.1875,1434869979.5,1152661000.1875,943933923.3125,1483219021.25,1197443441.375,1101074812.625,3289952260.4375,1085332305.1875,1434869979.5,1152661000.1875,943933923.3125,1483219021.25,1197443441.375,1101074812.625,3289952260.4375,1085332305.1875,1434869979.5,1152661000.1875,943933923.3125,1483219021.25,1197443441.375,1101074812.625,3289952260.4375,1085332305.1875,1434869979.5,1152661000.1875,943933923.3125
bt.c:npb,43721431695.8125,45331100125.75,44530683714.8125,47048908889.6875,44658847779.875,47777812865.3125,42941356589.8125,45201264785.8125,43721431695.8125,45331100125.75,44530683714.8125,47048908889.6875,44658847779.875,47777812865.3125,42941356589.8125,45201264785.8125,43721431695.8125,45331100125.75,44530683714.8125,47048908889.6875,44658847779.875,47777812865.3125,42941356589.8125,45201264785.8125,43721431695.8125,45331100125.75,44530683714.8125,47048908889.6875,44658847779.875,47777812865.3125,42941356589.8125,45201264785.8125,43721431695.8125,45331100125.75,44530683714.8125,47048908889.6875,44658847779.875,47777812865.3125,42941356589.8125,45201264785.8125,43721431695.8125,45331100125.75,44530683714.8125,47048908889.6875,44658847779.875,47777812865.3125,42941356589.8125,45201264785.8125,43721431695.8125,45331100125.75,44530683714.8125,47048908889.6875,44658847779.875,47777812865.3125,42941356589.8125,45201264785.8125,43721431695.8125,45331100125.75,44530683714.8125,47048908889.6875,44658847779.875,47777812865.3125,42941356589.8125,45201264785.8125
cg.c:npb,4404859697.0,8689764245.375,887459408.5625,2458699135.8125,3439829838.0625,5424335815.0625,2860287718.375,4014064600.125,4404859697.0,8689764245.375,887459408.5625,2458699135.8125,3439829838.0625,5424335815.0625,2860287718.375,4014064600.125,4404859697.0,8689764245.375,887459408.5625,2458699135.8125,3439829838.0625,5424335815.0625,2860287718.375,4014064600.125,4404859697.0,8689764245.375,887459408.5625,2458699135.8125,3439829838.0625,5424335815.0625,2860287718.375,4014064600.125,4404859697.0,8689764245.375,887459408.5625,2458699135.8125,3439829838.0625,5424335815.0625,2860287718.375,4014064600.125,4404859697.0,8689764245.375,887459408.5625,2458699135.8125,3439829838.0625,5424335815.0625,2860287718.375,4014064600.125,4404859697.0,8689764245.375,887459408.5625,2458699135.8125,3439829838.0625,5424335815.0625,2860287718.375,4014064600.125,4404859697.0,8689764245.375,887459408.5625,2458699135.8125,3439829838.0625,5424335815.0625,2860287718.375,4014064600.125
ch:easy,633792545.875,1708061135.9375,842262530.5625,2383898573.3125,449909817.25,3047644116.625,8961600.0,607874566.5,633792545.875,1708061135.9375,842262530.5625,2383898573.3125,449909817.25,3047644116.625,8961600.0,607874566.5,633792545.875,1708061135.9375,842262530.5625,2383898573.3125,449909817.25,3047644116.625,8961600.0,607874566.5,633792545.875,1708061135.9375,842262530.5625,2383898573.3125,449909817.25,3047644116.625,8961600.0,607874566.5,633792545.875,1708061135.9375,842262530.5625,2383898573.3125,449909817.25,3047644116.625,8961600.0,607874566.5,633792545.875,1708061135.9375,842262530.5625,2383898573.3125,449909817.25,3047644116.625,8961600.0,607874566.5,633792545.875,1708061135.9375,842262530.5625,2383898573.3125,449909817.25,3047644116.625,8961600.0,607874566.5,633792545.875,1708061135.9375,842262530.5625,2383898573.3125,449909817.25,3047644116.625,8961600.0,607874566.5
cholesky:splash2x,18810985.625,7360708.25,1299980.25,21618568.375,3136744.375,12578628.75,8058182.9375,2839848.875,18810985.625,7360708.25,1299980.25,21618568.375,3136744.375,12578628.75,8058182.9375,2839848.875,18810985.625,7360708.25,1299980.25,21618568.375,3136744.375,12578628.75,8058182.9375,2839848.875,18810985.625,7360708.25,1299980.25,21618568.375,3136744.375,12578628.75,8058182.9375,2839848.875,18810985.625,7360708.25,1299980.25,21618568.375,3136744.375,12578628.75,8058182.9375,2839848.875,18810985.625,7360708.25,1299980.25,21618568.375,3136744.375,12578628.75,8058182.9375,2839848.875,18810985.625,7360708.25,1299980.25,21618568.375,3136744.375,12578628.75,8058182.9375,2839848.875,18810985.625,7360708.25,1299980.25,21618568.375,3136744.375,12578628.75,8058182.9375,2839848.875
ep.c:npb,70507512.875,1586194712.4375,6572602.625,3112587558.1875,317674471.4375,1272551419.0625,6847749.0625,9137379.625,70507512.875,1586194712.4375,6572602.625,3112587558.1875,317674471.4375,1272551419.0625,6847749.0625,9137379.625,70507512.875,1586194712.4375,6572602.625,3112587558.1875,317674471.4375,1272551419.0625,6847749.0625,9137379.625,70507512.875,1586194712.4375,6572602.625,3112587558.1875,317674471.4375,1272551419.0625,6847749.0625,9137379.625,70507512.875,1586194712.4375,6572602.625,3112587558.1875,317674471.4375,1272551419.0625,6847749.0625,9137379.625,70507512.875,1586194712.4375,6572602.625,3112587558.1875,317674471.4375,1272551419.0625,6847749.0625,9137379.625,70507512.875,1586194712.4375,6572602.625,3112587558.1875,317674471.4375,1272551419.0625,6847749.0625,9137379.625,70507512.875,1586194712.4375,6572602.625,3112587558.1875,317674471.4375,1272551419.0625,6847749.0625,9137379.625
fft:splash2x,274029217.75,196616311.875,130404773.0625,276034161.1875,661945793.0625,2221341801.1875,663776501.75,1235283310.125,274029217.75,196616311.875,130404773.0625,276034161.1875,661945793.0625,2221341801.1875,663776501.75,1235283310.125,274029217.75,196616311.875,130404773.0625,276034161.1875,661945793.0625,2221341801.1875,663776501.75,1235283310.125,274029217.75,196616311.875,130404773.0625,276034161.1875,661945793.0625,2221341801.1875,663776501.75,1235283310.125,274029217.75,196616311.875,130404773.0625,276034161.1875,661945793.0625,2221341801.1875,663776501.75,1235283310.125,274029217.75,196616311.875,130404773.0625,276034161.1875,661945793.0625,2221341801.1875,663776501.75,1235283310.125,274029217.75,196616311.875,130404773.0625,276034161.1875,661945793.0625,2221341801.1875,663776501.75,1235283310.125,274029217.75,196616311.875,130404773.0625,276034161.1875,661945793.0625,2221341801.1875,663776501.75,1235283310.125
fmm:splash2x,590463001.8125,328494784.0625,138850069.6875,959317846.125,204703384.5,1160416555.25,630405187.25,419761307.75,590463001.8125,328494784.0625,138850069.6875,959317846.125,204703384.5,1160416555.25,630405187.25,419761307.75,590463001.8125,328494784.0625,138850069.6875,959317846.125,204703384.5,1160416555.25,630405187.25,419761307.75,590463001.8125,328494784.0625,138850069.6875,959317846.125,204703384.5,1160416555.25,630405187.25,419761307.75,590463001.8125,328494784.0625,138850069.6875,959317846.125,204703384.5,1160416555.25,630405187.25,419761307.75,590463001.8125,328494784.0625,138850069.6875,959317846.125,204703384.5,1160416555.25,630405187.25,419761307.75,590463001.8125,328494784.0625,138850069.6875,959317846.125,204703384.5,1160416555.25,630405187.25,419761307.75,590463001.8125,328494784.0625,138850069.6875,959317846.125,204703384.5,1160416555.25,630405187.25,419761307.75
ft.c:npb,1048751077.375,1768440376.3125,1618123667.375,803931925.0625,715333940.625,964038618.1875,2327097831.25,951206877.9375,1048751077.375,1768440376.3125,1618123667.375,803931925.0625,715333940.625,964038618.1875,2327097831.25,951206877.9375,1048751077.375,1768440376.3125,1618123667.375,803931925.0625,715333940.625,964038618.1875,2327097831.25,951206877.9375,1048751077.375,1768440376.3125,1618123667.375,803931925.0625,715333940.625,964038618.1875,2327097831.25,951206877.9375,1048751077.375,1768440376.3125,1618123667.375,803931925.0625,715333940.625,964038618.1875,2327097831.25,951206877.9375,1048751077.375,1768440376.3125,1618123667.375,803931925.0625,715333940.625,964038618.1875,2327097831.25,951206877.9375,1048751077.375,1768440376.3125,1618123667.375,803931925.0625,715333940.625,964038618.1875,2327097831.25,951206877.9375,1048751077.375,1768440376.3125,1618123667.375,803931925.0625,715333940.625,964038618.1875,2327097831.25,951206877.9375
