suite,name,autonuma,interleave,time_elapsed_ci,time_elapsed_ci_perc,instructions_mean,instructions_ci,instructions_ci_perc,cycles_mean,cycles_ci,cycles_ci_perc,stalled-cycles-backend_mean,stalled-cycles-backend_ci,stalled-cycles-backend_ci_perc,lsq_load_mean,lsq_load_ci,lsq_load_ci_perc,lsq_store_mean,lsq_store_ci,lsq_store_ci_perc,mem_acc_evs_mean,mem_acc_evs_ci,mem_acc_evs_ci_perc
NPB,lu.C,0,0,0.1935908802,3.93%,249407060522,4355969111.23,1.75%,904823166322,68183628260.1,7.54%,230242832420,13807014157.6,6.00%,40762457769.2,7263607446.54,17.82%,97738732523.5,16922081073.2,17.31%,6337551870.67,67374714.207,1.06%
NPB,sp.C,0,0,10.858399536,0.74%,17344869976100,368663172175,2.13%,250007271364000,8681969670060,3.47%,62139791191300,2710758185440,4.36%,3797790387960,312322965470,8.22%,22260152182600,680615233354,3.06%,265756405678,7550015679.28,2.84%
NPB,ep.C,0,0,0.3051329339,1.43%,941284758117,143729047.852,0.02%,3252803319930,22172872517.5,0.68%,1250316755390,5802050011.96,0.46%,2504359,1784149.52992,71.24%,13707611013.5,13775342464.8,100.49%,6286017201.67,145807823.782,2.32%
NPB,ft.C,0,0,0.2543452887,1.15%,329188098739,309295000.732,0.09%,1895389392040,28624781874.7,1.51%,847109550867,15602205442.2,1.84%,116772928928,43515834631.7,37.27%,521064955739,27974713752,5.37%,9800921773.33,459281234.459,4.69%
NPB,bt.C,0,0,8.5917556435,1.98%,10126966137600,172597734760,1.70%,67892573893400,1962585430040,2.89%,23463686450200,1058196775200,4.51%,2969560955760,169502339716,5.71%,12091526827500,1921019431510,15.89%,361317852758,42213140243.2,11.68%
NPB,mg.C,0,0,2.1170987641,2.35%,510488498224,4203650353.23,0.82%,8711080884020,542362439507,6.23%,4188732761010,321281834865,7.67%,2405661440200,588965206393,24.48%,236623864182,24355121411.9,10.29%,16193577449.3,226449072.571,1.40%
NPB,cg.C,0,0,8.4027630482,4.72%,1826250318990,249571635309,13.67%,24479392840600,1992741960860,8.14%,8658255953840,389463720370,4.50%,57061987316.8,8486779976.84,14.87%,66373652587.2,5782006594.13,8.71%,31136406956.7,3719521296.26,11.95%
splash2x,cholesky,0,0,0.0387135923,3.22%,55757465002.6,9734197538.87,17.46%,37088123912.3,6349074872.84,17.12%,1666961315.9,73369112.7822,4.40%,38302799.25,2607803.03612,6.81%,222577243.75,9760507.4779,4.39%,72117557,2588313.26471,3.59%
splash2x,fmm,0,0,0.2168068999,1.59%,753977819909,9345688871.69,1.24%,835160896595,9538307246.11,1.14%,199517627054,4616708105.57,2.31%,338558600.5,13623231.6851,4.02%,24398164912,1296174404.8,5.31%,4415809344,38486696.2309,0.87%
splash2x,lu_cb,0,0,0.1605996757,1.11%,1320977752950,93963472.7461,0.01%,925647830631,3647950052.09,0.39%,83517966109.6,4419308052.18,5.29%,2658397156.5,63990450.8465,2.41%,1501810471.75,447987282.791,29.83%,8229241062.33,802884056.007,9.76%
splash2x,lu_ncb,0,0,0.1856919019,1.28%,1316070714770,25683457.1189,0.00%,1410632502360,12761766371.6,0.90%,199552281393,4982131015.64,2.50%,118677899.5,10133493.8993,8.54%,11278565890,959184726.68,8.50%,19135133189.3,1088584297.62,5.69%
splash2x,ocean_cp,0,0,1.942271825,2.25%,359647814861,116130376.012,0.03%,5357380278130,107454773047,2.01%,3096362338480,58935380517.8,1.90%,943952312611,73591242550.8,7.80%,239460039377,11224148849.9,4.69%,30958519143,648319782.981,2.09%
splash2x,ocean_ncp,0,0,1.4017176087,4.07%,356513446010,106939926.506,0.03%,2454172997140,88280460446.1,3.60%,1267367658050,54412393566.8,4.29%,47210942847.2,3004833411.31,6.36%,311604508779,20734100464.7,6.65%,35521410984.3,1219705831.04,3.43%
splash2x,radiosity,0,0,0.1852386702,3.62%,256067062091,11407233423.4,4.45%,693611728954,27550250468,3.97%,176326266074,7022223741.57,3.98%,19338976.25,2444622.46293,12.64%,1623554575.25,64115950.3732,3.95%,402233512,79624080.1542,19.80%
splash2x,radix,0,0,0.1691729683,4.83%,47024915827.4,122795694.236,0.26%,387066366663,16651385111.2,4.30%,181824564632,10515847317.7,5.78%,16283547.25,2563738.72263,15.74%,115131654336,39141442335.7,34.00%,3296957453.67,1288775855.12,39.09%
splash2x,raytrace,0,0,0.0996870506,0.65%,783720403337,1103856064.41,0.14%,2428796557650,15481820271.4,0.64%,370092555970,4435224575.62,1.20%,2792714145.5,446878411.99,16.00%,9306639809.5,2647020719.33,28.44%,10912071588.3,614283284.64,5.63%
splash2x,volrend,0,0,0.1017189261,9.05%,1041876291.6,4510507.73837,0.43%,2907730899,21841285.007,0.75%,997811907.1,16331469.1455,1.64%,24127.25,2024.66806039,8.39%,108126454.5,10869341.0959,10.05%,47921945.3333,8372910.46903,17.47%
