name:suite,autonuma,interleave,time_elapsed_s
add:easy,1,0,3.1475
barnes:splash2x,1,0,10.360625
bt.c:npb,1,0,401.889375
cg.c:npb,1,0,43.05875
ch:easy,1,0,7.604375
cholesky:splash2x,1,0,1.2325
ep.c:npb,1,0,18.345
fft:splash2x,1,0,38.776875
fmm:splash2x,1,0,12.646875
ft.c:npb,1,0,17.438125
lu_cb:splash2x,1,0,15.05625
lu.c:npb,1,0,4.833125
lu:easy,1,0,17.65875
lu_ncb:splash2x,1,0,14.9025
mg.c:npb,1,0,45.99625
ocean_cp:splash2x,1,0,34.635
ocean_ncp:splash2x,1,0,33.31375
prod:easy,1,0,130.471875
radiosity:splash2x,1,0,5.153125
radix:splash2x,1,0,3.40375
raytrace:splash2x,1,0,15.98625
sp.c:npb,1,0,1264.418125
volrend:splash2x,1,0,1.115
water_nsquared:splash2x,1,0,23.165625
water_spatial:splash2x,1,0,13.088125
