name:suite,autonuma,interleave,time_elapsed_s
add:easy,0,0,3.13625
barnes:splash2x,0,0,10.453125
bt.c:npb,0,0,434.68
cg.c:npb,0,0,178.005
ch:easy,0,0,35.074375
cholesky:splash2x,0,0,1.20125
ep.c:npb,0,0,21.29875
fft:splash2x,0,0,41.105
fmm:splash2x,0,0,13.61625
ft.c:npb,0,0,22.1475
lu_cb:splash2x,0,0,14.463125
lu.c:npb,0,0,4.928125
lu:easy,0,0,120.898125
lu_ncb:splash2x,0,0,14.56375
mg.c:npb,0,0,90.0075
ocean_cp:splash2x,0,0,86.26
ocean_ncp:splash2x,0,0,34.43875
prod:easy,0,0,380.426875
radiosity:splash2x,0,0,5.119375
radix:splash2x,0,0,3.5025
raytrace:splash2x,0,0,15.22625
sp.c:npb,0,0,1467.5975
volrend:splash2x,0,0,1.124375
water_nsquared:splash2x,0,0,24.320625
water_spatial:splash2x,0,0,13.41875
