name:suite,autonuma,interleave,time_elapsed_s
add:easy,0,1,4.0025
barnes:splash2x,0,1,10.46875
bt.c:npb,0,1,298.009375
cg.c:npb,0,1,35.431875
ch:easy,0,1,20.431875
cholesky:splash2x,0,1,1.31125
ep.c:npb,0,1,18.153125
fft:splash2x,0,1,38.90125
fmm:splash2x,0,1,13.3925
ft.c:npb,0,1,14.23125
lu_cb:splash2x,0,1,14.456875
lu.c:npb,0,1,4.460625
lu:easy,0,1,31.868125
lu_ncb:splash2x,0,1,14.113125
mg.c:npb,0,1,30.556875
ocean_cp:splash2x,0,1,27.245
ocean_ncp:splash2x,0,1,30.99125
prod:easy,0,1,193.098125
radiosity:splash2x,0,1,5.66875
radix:splash2x,0,1,4.926875
raytrace:splash2x,0,1,15.845
sp.c:npb,0,1,973.605
volrend:splash2x,0,1,1.16375
water_nsquared:splash2x,0,1,24.201875
water_spatial:splash2x,0,1,12.446875
